,WTeam,LTeam,WLoc
153,Detroit Pistons,Orlando Magic,Visitor_Team
154,New York Knicks,Atlanta Hawks,Visitor_Team
155,Miami Heat,San Antonio Spurs,Home_Team
156,Philadelphia 76ers,Indiana Pacers,Visitor_Team
157,Memphis Grizzlies,Denver Nuggets,Home_Team
158,New Orleans Pelicans,Chicago Bulls,Home_Team
159,Utah Jazz,Dallas Mavericks,Home_Team
160,Toronto Raptors,Sacramento Kings,Visitor_Team
161,Los Angeles Lakers,Minnesota Timberwolves,Home_Team
162,Oklahoma City Thunder,Houston Rockets,Home_Team
163,Boston Celtics,Phoenix Suns,Visitor_Team
164,Portland Trail Blazers,Los Angeles Clippers,Home_Team
165,Milwaukee Bucks,Golden State Warriors,Visitor_Team
166,Orlando Magic,Washington Wizards,Home_Team
167,Philadelphia 76ers,Charlotte Hornets,Home_Team
168,Detroit Pistons,Atlanta Hawks,Visitor_Team
169,Indiana Pacers,Miami Heat,Visitor_Team
170,Brooklyn Nets,Denver Nuggets,Visitor_Team
171,Utah Jazz,Boston Celtics,Home_Team
172,Sacramento Kings,Minnesota Timberwolves,Home_Team
173,Toronto Raptors,New York Knicks,Home_Team
174,Los Angeles Clippers,Milwaukee Bucks,Home_Team
175,New Orleans Pelicans,Phoenix Suns,Home_Team
176,Chicago Bulls,Cleveland Cavaliers,Home_Team
177,Memphis Grizzlies,Philadelphia 76ers,Home_Team
178,Washington Wizards,Miami Heat,Visitor_Team
179,Golden State Warriors,Brooklyn Nets,Home_Team
180,San Antonio Spurs,Houston Rockets,Home_Team
181,Dallas Mavericks,Oklahoma City Thunder,Home_Team
182,Los Angeles Lakers,Sacramento Kings,Visitor_Team
183,Charlotte Hornets,Detroit Pistons,Visitor_Team
184,Houston Rockets,Indiana Pacers,Home_Team
185,Orlando Magic,New York Knicks,Visitor_Team
186,Milwaukee Bucks,Denver Nuggets,Visitor_Team
187,Portland Trail Blazers,Boston Celtics,Home_Team
188,Los Angeles Lakers,Atlanta Hawks,Home_Team
189,Washington Wizards,Orlando Magic,Home_Team
