,WTeam,LTeam,WLoc
993,Philadelphia 76ers,Indiana Pacers,Home_Team
994,Atlanta Hawks,New Orleans Pelicans,Home_Team
995,Memphis Grizzlies,Orlando Magic,Home_Team
996,Houston Rockets,Dallas Mavericks,Visitor_Team
997,Minnesota Timberwolves,New York Knicks,Home_Team
998,San Antonio Spurs,Milwaukee Bucks,Home_Team
999,Phoenix Suns,Golden State Warriors,Visitor_Team
1000,Cleveland Cavaliers,Toronto Raptors,Home_Team
1001,Washington Wizards,Sacramento Kings,Home_Team
1002,Brooklyn Nets,Detroit Pistons,Home_Team
1003,Houston Rockets,Charlotte Hornets,Home_Team
1004,Oklahoma City Thunder,Utah Jazz,Visitor_Team
1005,Los Angeles Clippers,Boston Celtics,Home_Team
1006,Indiana Pacers,New York Knicks,Home_Team
1007,Philadelphia 76ers,Cleveland Cavaliers,Home_Team
1008,Los Angeles Lakers,Chicago Bulls,Visitor_Team
1009,San Antonio Spurs,Dallas Mavericks,Visitor_Team
1010,Milwaukee Bucks,New Orleans Pelicans,Visitor_Team
1011,Denver Nuggets,Minnesota Timberwolves,Home_Team
1012,Portland Trail Blazers,Los Angeles Clippers,Visitor_Team
1013,Oklahoma City Thunder,Brooklyn Nets,Home_Team
1014,Washington Wizards,Orlando Magic,Home_Team
1015,Atlanta Hawks,Memphis Grizzlies,Home_Team
1016,Miami Heat,Detroit Pistons,Home_Team
1017,Golden State Warriors,Houston Rockets,Visitor_Team
1018,Utah Jazz,Phoenix Suns,Visitor_Team
1019,Indiana Pacers,Oklahoma City Thunder,Home_Team
1020,Orlando Magic,Cleveland Cavaliers,Home_Team
1021,Boston Celtics,Sacramento Kings,Home_Team
1022,Toronto Raptors,Los Angeles Lakers,Home_Team
1023,Utah Jazz,Minnesota Timberwolves,Home_Team
1024,Denver Nuggets,Dallas Mavericks,Home_Team
1025,Detroit Pistons,Los Angeles Lakers,Home_Team
1026,Philadelphia 76ers,Sacramento Kings,Home_Team
1027,Charlotte Hornets,Washington Wizards,Visitor_Team
1028,Houston Rockets,Phoenix Suns,Home_Team
1029,Milwaukee Bucks,Miami Heat,Visitor_Team
1030,Portland Trail Blazers,New Orleans Pelicans,Visitor_Team
1031,San Antonio Spurs,New York Knicks,Home_Team
1032,Los Angeles Clippers,Chicago Bulls,Home_Team
1033,Boston Celtics,Atlanta Hawks,Home_Team
1034,Phoenix Suns,New Orleans Pelicans,Visitor_Team
1035,Washington Wizards,Memphis Grizzlies,Home_Team
1036,Dallas Mavericks,Cleveland Cavaliers,Home_Team
1037,Golden State Warriors,Oklahoma City Thunder,Visitor_Team
1038,San Antonio Spurs,Portland Trail Blazers,Home_Team
1039,Denver Nuggets,Indiana Pacers,Home_Team
1040,Utah Jazz,Brooklyn Nets,Home_Team
1041,New York Knicks,Los Angeles Lakers,Home_Team
1042,Miami Heat,Charlotte Hornets,Home_Team
1043,Philadelphia 76ers,Milwaukee Bucks,Visitor_Team
1044,Detroit Pistons,Toronto Raptors,Home_Team
1045,Orlando Magic,Atlanta Hawks,Home_Team
1046,Sacramento Kings,Chicago Bulls,Home_Team
1047,Houston Rockets,Minnesota Timberwolves,Home_Team
1048,Los Angeles Clippers,Brooklyn Nets,Home_Team
1049,Cleveland Cavaliers,Detroit Pistons,Home_Team
1050,Utah Jazz,Washington Wizards,Visitor_Team
1051,Denver Nuggets,Boston Celtics,Visitor_Team
1052,Toronto Raptors,New York Knicks,Home_Team
1053,Miami Heat,Oklahoma City Thunder,Visitor_Team
1054,San Antonio Spurs,Golden State Warriors,Home_Team
1055,New Orleans Pelicans,Dallas Mavericks,Visitor_Team
1056,Chicago Bulls,Phoenix Suns,Visitor_Team
1057,Portland Trail Blazers,Indiana Pacers,Home_Team
1058,Philadelphia 76ers,Charlotte Hornets,Visitor_Team
1059,Houston Rockets,Atlanta Hawks,Visitor_Team
1060,Milwaukee Bucks,Los Angeles Lakers,Home_Team
1061,Golden State Warriors,Minnesota Timberwolves,Visitor_Team
1062,Brooklyn Nets,Sacramento Kings,Visitor_Team
1063,Los Angeles Clippers,Indiana Pacers,Home_Team
1064,Cleveland Cavaliers,Milwaukee Bucks,Home_Team
1065,Orlando Magic,New Orleans Pelicans,Home_Team
1066,Philadelphia 76ers,Boston Celtics,Home_Team
1067,Utah Jazz,New York Knicks,Visitor_Team
1068,Chicago Bulls,Washington Wizards,Home_Team
1069,Memphis Grizzlies,Houston Rockets,Home_Team
1070,Miami Heat,San Antonio Spurs,Visitor_Team
1071,Toronto Raptors,Oklahoma City Thunder,Visitor_Team
1072,Portland Trail Blazers,Dallas Mavericks,Home_Team
1073,Charlotte Hornets,Minnesota Timberwolves,Home_Team
1074,Denver Nuggets,Washington Wizards,Visitor_Team
1075,Atlanta Hawks,Utah Jazz,Home_Team
1076,Detroit Pistons,Phoenix Suns,Visitor_Team
1077,Sacramento Kings,Dallas Mavericks,Home_Team
1078,Golden State Warriors,Indiana Pacers,Home_Team
1079,Orlando Magic,Memphis Grizzlies,Home_Team
1080,Los Angeles Clippers,Cleveland Cavaliers,Visitor_Team
1081,Denver Nuggets,New York Knicks,Visitor_Team
1082,Oklahoma City Thunder,Toronto Raptors,Visitor_Team
1083,Houston Rockets,San Antonio Spurs,Home_Team
1084,Milwaukee Bucks,Miami Heat,Home_Team
1085,Brooklyn Nets,Los Angeles Lakers,Visitor_Team
1086,Charlotte Hornets,Boston Celtics,Home_Team
1087,Miami Heat,Washington Wizards,Visitor_Team
1088,Atlanta Hawks,Philadelphia 76ers,Home_Team
1089,Utah Jazz,Chicago Bulls,Visitor_Team
1090,Minnesota Timberwolves,Memphis Grizzlies,Visitor_Team
1091,Dallas Mavericks,Golden State Warriors,Visitor_Team
1092,Portland Trail Blazers,Detroit Pistons,Home_Team
1093,Sacramento Kings,Phoenix Suns,Home_Team
1094,Los Angeles Clippers,New York Knicks,Visitor_Team
1095,Milwaukee Bucks,Cleveland Cavaliers,Home_Team
1096,Indiana Pacers,Denver Nuggets,Home_Team
1097,Charlotte Hornets,Toronto Raptors,Visitor_Team
1098,Houston Rockets,New Orleans Pelicans,Visitor_Team
1099,San Antonio Spurs,Boston Celtics,Visitor_Team
1100,Golden State Warriors,Detroit Pistons,Home_Team
1101,Los Angeles Lakers,Sacramento Kings,Home_Team
1102,Orlando Magic,Philadelphia 76ers,Home_Team
1103,Memphis Grizzlies,Oklahoma City Thunder,Home_Team
1104,Utah Jazz,Phoenix Suns,Home_Team
1105,Portland Trail Blazers,Brooklyn Nets,Home_Team
1106,Charlotte Hornets,San Antonio Spurs,Home_Team
1107,Boston Celtics,Cleveland Cavaliers,Visitor_Team
1108,Orlando Magic,Miami Heat,Visitor_Team
1109,Toronto Raptors,Chicago Bulls,Home_Team
1110,Milwaukee Bucks,Houston Rockets,Home_Team
1111,Los Angeles Clippers,Minnesota Timberwolves,Visitor_Team
1112,Atlanta Hawks,New Orleans Pelicans,Visitor_Team
1113,Sacramento Kings,Dallas Mavericks,Visitor_Team
1114,Denver Nuggets,Detroit Pistons,Home_Team
1115,Los Angeles Lakers,Washington Wizards,Home_Team
1116,Portland Trail Blazers,Chicago Bulls,Visitor_Team
1117,Golden State Warriors,Memphis Grizzlies,Visitor_Team
1118,Oklahoma City Thunder,Indiana Pacers,Home_Team
1119,Washington Wizards,Phoenix Suns,Visitor_Team
1120,Utah Jazz,Los Angeles Lakers,Home_Team
1121,Detroit Pistons,Orlando Magic,Home_Team
1122,Philadelphia 76ers,Brooklyn Nets,Home_Team
1123,Miami Heat,Dallas Mavericks,Home_Team
1124,Toronto Raptors,New York Knicks,Visitor_Team
1125,Houston Rockets,Denver Nuggets,Home_Team
1126,Milwaukee Bucks,Los Angeles Clippers,Home_Team
1127,New Orleans Pelicans,Sacramento Kings,Home_Team
1128,San Antonio Spurs,Cleveland Cavaliers,Home_Team
1129,Boston Celtics,Indiana Pacers,Home_Team
1130,Portland Trail Blazers,Atlanta Hawks,Visitor_Team
1131,Minnesota Timberwolves,Golden State Warriors,Home_Team
1132,Denver Nuggets,Oklahoma City Thunder,Visitor_Team
1133,Utah Jazz,Washington Wizards,Home_Team
1134,Los Angeles Lakers,Charlotte Hornets,Home_Team
1135,Los Angeles Clippers,Cleveland Cavaliers,Home_Team
1136,Brooklyn Nets,Boston Celtics,Home_Team
1137,Houston Rockets,Sacramento Kings,Home_Team
1138,Detroit Pistons,Portland Trail Blazers,Home_Team
1139,Orlando Magic,Indiana Pacers,Visitor_Team
1140,Miami Heat,New York Knicks,Visitor_Team
1141,Toronto Raptors,Chicago Bulls,Visitor_Team
1142,Philadelphia 76ers,Minnesota Timberwolves,Visitor_Team
1143,Memphis Grizzlies,Phoenix Suns,Visitor_Team
1144,Atlanta Hawks,Milwaukee Bucks,Home_Team
1145,Dallas Mavericks,Oklahoma City Thunder,Visitor_Team
1146,Los Angeles Lakers,New Orleans Pelicans,Visitor_Team
1147,Sacramento Kings,San Antonio Spurs,Visitor_Team
1148,Washington Wizards,Denver Nuggets,Visitor_Team
1149,Golden State Warriors,Charlotte Hornets,Home_Team
1150,Los Angeles Clippers,Memphis Grizzlies,Home_Team
